passenger_id,origin,destination,appear_time,board_time,arrival_time,status,wait_time,travel_time,total_time,assigned_vehicle
P1,8589141,8589161,93.85361799537182,1408.0,1903.0,ARRIVED,1314.146382004628,495.0,1809.146382004628,
P2,8589152,8589161,395.0237080636348,1861.0,2440.0,ARRIVED,1465.9762919363652,579.0,2044.9762919363652,
P3,8589138,8592374,50.887461138703884,1494.0,1996.0,ARRIVED,1443.1125388612961,502.0,1945.1125388612961,
P4,8589138,8592374,101.76634871308543,1494.0,1996.0,ARRIVED,1392.2336512869147,502.0,1894.2336512869147,
P5,8589138,8592374,119.71797929568964,1494.0,1996.0,ARRIVED,1374.2820207043103,502.0,1876.2820207043103,
P6,8591766,8592374,110.28985843527174,1559.0,1996.0,ARRIVED,1448.7101415647282,437.0,1885.7101415647282,
P7,8591766,8592374,258.0398658398226,1559.0,1996.0,ARRIVED,1300.9601341601774,437.0,1737.9601341601774,
P8,8591766,8592374,260.53578279971924,1559.0,1996.0,ARRIVED,1298.4642172002807,437.0,1735.4642172002807,
P9,8587255,8592374,214.371545202561,1774.0,1996.0,ARRIVED,1559.628454797439,222.0,1781.628454797439,
P10,8587255,8592374,243.01406023243464,1774.0,1996.0,ARRIVED,1530.9859397675655,222.0,1752.9859397675655,
P11,8587255,8592374,267.09553888239424,1774.0,1996.0,ARRIVED,1506.9044611176057,222.0,1728.9044611176057,
P12,8587255,8592374,291.40890962226507,1774.0,1996.0,ARRIVED,1482.5910903777349,222.0,1704.5910903777349,
P13,8587255,8592374,334.9393571575223,1774.0,1996.0,ARRIVED,1439.0606428424776,222.0,1661.0606428424776,
P14,8587255,8592374,424.21069686082484,1774.0,1996.0,ARRIVED,1349.7893031391752,222.0,1571.7893031391752,
P15,8587255,8592374,492.07514487446525,1774.0,1996.0,ARRIVED,1281.9248551255348,222.0,1503.9248551255348,
P16,8587255,8592374,533.3819039809382,1774.0,1996.0,ARRIVED,1240.6180960190618,222.0,1462.6180960190618,
P17,8589161,8589141,90.1407172364032,1792.0,2375.0,ARRIVED,1701.8592827635969,583.0,2284.8592827635966,
P18,8589161,8589141,297.45002443784455,1792.0,2375.0,ARRIVED,1494.5499755621554,583.0,2077.5499755621554,
P19,8589161,8589141,571.2163553703529,1792.0,2375.0,ARRIVED,1220.7836446296471,583.0,1803.7836446296471,
P20,8589161,8589138,133.64151727721418,1792.0,2228.0,ARRIVED,1658.3584827227858,436.0,2094.358482722786,
P21,8589161,8589138,566.8590102970908,1792.0,2228.0,ARRIVED,1225.1409897029093,436.0,1661.1409897029093,
P22,8589161,8587255,28.538309853845128,1516.0,1620.0,ARRIVED,1487.461690146155,104.0,1591.461690146155,
P23,8589161,8587255,589.7381222436112,1516.0,1620.0,ARRIVED,926.2618777563888,104.0,1030.261877756389,
